name,release_date,total_tracks,artists,id,name,duration_ms,explicit,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature
Fearless,2008-11-11,13,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,231133,false,3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,74,0.687,0.783,6,-4.44,1,0.0386,0.162,0.0000135,0.114,0.443,129.964,audio_features,spotify:track:3GCL1PydwsLodcpv0Ll1ch,https://api.spotify.com/v1/tracks/3GCL1PydwsLodcpv0Ll1ch,https://api.spotify.com/v1/audio-analysis/3GCL1PydwsLodcpv0Ll1ch,4
Hot Fuss,2004-06-15,11,,0C0XlULifJtAgn6ZNCW2eu,The Killers,301573,false,0kYUrLVQOfx21xuXu7OGrT,All These Things That I've Done,66,0.557,0.728,6,-6.181,1,0.0405,0.00156,0.00000513,0.118,0.216,118.241,audio_features,spotify:track:0kYUrLVQOfx21xuXu7OGrT,https://api.spotify.com/v1/tracks/0kYUrLVQOfx21xuXu7OGrT,https://api.spotify.com/v1/audio-analysis/0kYUrLVQOfx21xuXu7OGrT,4
Red,2012-10-22,16,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,217973,false,72jCZdH0Lhg93z6Z4hBjgj,I Knew You Were Trouble.,67,0.622,0.469,3,-6.798,0,0.0363,0.00454,0.00000225,0.0398,0.679,77.019,audio_features,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,https://api.spotify.com/v1/tracks/72jCZdH0Lhg93z6Z4hBjgj,https://api.spotify.com/v1/audio-analysis/72jCZdH0Lhg93z6Z4hBjgj,4
DNCE,2016-11-18,14,,6T5tfhQCknKG4UnH90qGnz,DNCE,219147,true,76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,84,0.774,0.753,4,-5.446,0,0.0517,0.152,0,0.0371,0.896,119.002,audio_features,spotify:track:76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/tracks/76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/audio-analysis/76hfruVvmfQbw0eYn1nmeC,4
Kiss (Deluxe),2012-01-01,15,,6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,193400,false,3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,76,0.783,0.58,7,-6.548,1,0.0408,0.0114,0.00000228,0.108,0.66,120.021,audio_features,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/audio-analysis/3TGRqZ0a2l1LRblBkJoaDx,4
Red (Deluxe Edition),2012-10-22,22,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,230133,false,3bIxTsfeNMO7Nt2J3EUKrA,22,62,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,audio_features,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA,https://api.spotify.com/v1/tracks/3bIxTsfeNMO7Nt2J3EUKrA,https://api.spotify.com/v1/audio-analysis/3bIxTsfeNMO7Nt2J3EUKrA,4
Teenage Dream: The Complete Confection,2012-03-12,19,,6jJ0s89eD6GaHleKKya26X,Katy Perry,234653,false,6tS3XVuOyu10897O3ae7bi,California Gurls,77,0.791,0.754,0,-3.729,1,0.0569,0.00446,0,0.163,0.425,125.014,audio_features,spotify:track:6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/tracks/6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/audio-analysis/6tS3XVuOyu10897O3ae7bi,4
,,,,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,,,,,,,,,,,,,,,,,,,,,
1989,2014-10-27,13,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,212600,false,6qnM0XXPZOINWA778uNqQ9,Welcome To New York,65,0.793,0.634,7,-4.807,1,0.0324,0.038,0.00000176,0.304,0.615,117.024,audio_features,spotify:track:6qnM0XXPZOINWA778uNqQ9,https://api.spotify.com/v1/tracks/6qnM0XXPZOINWA778uNqQ9,https://api.spotify.com/v1/audio-analysis/6qnM0XXPZOINWA778uNqQ9,4
Taylor Swift,2006-10-24,15,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,201107,false,15DeqWWQB4dcEWzJg15VrN,Our Song,73,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,audio_features,spotify:track:15DeqWWQB4dcEWzJg15VrN,https://api.spotify.com/v1/tracks/15DeqWWQB4dcEWzJg15VrN,https://api.spotify.com/v1/audio-analysis/15DeqWWQB4dcEWzJg15VrN,4
Fearless,2008-11-11,13,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,235267,false,1vrd6UOGamcKNGnSHJQlSt,Love Story,73,0.618,0.741,2,-3.95,1,0.031,0.17,0,0.0822,0.296,118.984,audio_features,spotify:track:1vrd6UOGamcKNGnSHJQlSt,https://api.spotify.com/v1/tracks/1vrd6UOGamcKNGnSHJQlSt,https://api.spotify.com/v1/audio-analysis/1vrd6UOGamcKNGnSHJQlSt,4
Fearless,2008-11-11,13,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,254307,false,4WXzzCof26KJLTK5kK53dS,Hey Stephen,52,0.841,0.544,6,-7.347,1,0.0309,0.194,0.00000248,0.108,0.831,115.994,audio_features,spotify:track:4WXzzCof26KJLTK5kK53dS,https://api.spotify.com/v1/tracks/4WXzzCof26KJLTK5kK53dS,https://api.spotify.com/v1/audio-analysis/4WXzzCof26KJLTK5kK53dS,4
1989 (Deluxe Edition),2014-10-27,19,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,231000,false,1fo2ctLqj3zBhRQKOXprol,Style,66,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,audio_features,spotify:track:1fo2ctLqj3zBhRQKOXprol,https://api.spotify.com/v1/tracks/1fo2ctLqj3zBhRQKOXprol,https://api.spotify.com/v1/audio-analysis/1fo2ctLqj3zBhRQKOXprol,4
1989,2014-10-27,13,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,219200,false,5xTtaWoae3wi06K5WfVUUH,Shake It Off,76,0.647,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.015,audio_features,spotify:track:5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/tracks/5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/audio-analysis/5xTtaWoae3wi06K5WfVUUH,4
Speak Now,2010-10-25,14,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,237733,false,5yEPktRqvIhko5QFF3aBhQ,Mean,68,0.568,0.761,4,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974,audio_features,spotify:track:5yEPktRqvIhko5QFF3aBhQ,https://api.spotify.com/v1/tracks/5yEPktRqvIhko5QFF3aBhQ,https://api.spotify.com/v1/audio-analysis/5yEPktRqvIhko5QFF3aBhQ,4
Gorgeous,2017-10-20,1,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,209680,false,0CLnkxpa3M4eA3HeGaERat,Gorgeous,0,0.794,0.537,7,-6.865,1,0.169,0.079,0.00000498,0.227,0.418,92.022,audio_features,spotify:track:0CLnkxpa3M4eA3HeGaERat,https://api.spotify.com/v1/tracks/0CLnkxpa3M4eA3HeGaERat,https://api.spotify.com/v1/audio-analysis/0CLnkxpa3M4eA3HeGaERat,4
